Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
Weather Safety,303040025,3,3,4,0,25,,1,1/27-1/28,A2 Datarescue,,
Geographic Informational Systems Data Portal,303040026,3,3,4,0,26,,1,1/27-1/28,A2 Datarescue,,
Information Center,303040027,3,3,4,0,27,,1,1/27-1/28,A2 Datarescue,,
Office of Oceanic & Atmospheric Research,303060000,3,3,6,0,,,10-Oct,1/14/2017,DataRescue Philly,,1
Atlantic Oceanographic and Meteorological Laboratory,303060001,3,3,6,0,1,,1,1/27-1/28,A2 Datarescue,,
Air Resources Laboratory,303060002,3,3,6,0,2,,1,1/14/2017,DataRescue Philly,,
Earth System Research Laboratory: Research,303060003,3,3,6,0,3,,1,1/14/2017,DataRescue Philly,,
Geophysical Fluid Dynamics Laboratory,303060004,3,3,6,0,4,,1,1/26/2017,DatRescue Philly 2,,
Great Lakes Environmental Research Laboratory,303060005,3,3,6,0,5,,1,1/14/2017,DataRescue Philly,,
National Severe Storms Laboratory,303060006,3,3,6,0,6,,1,1/14/2017,DataRescue Philly,,
Pacific Marine Environmental Laboratory,303060007,3,3,6,0,7,,1,1/26/2017,DatRescue Philly 2,,
Ocean Exploration and Research,303060008,3,3,6,0,8,,1,1/26/2017,DatRescue Philly 2,,
Sensing Hazards with Operational Unmanned Technology,303060009,3,3,6,0,9,,1,1/14/2017,DataRescue Philly,,
Ocean Acidification Program,303060010,3,3,6,0,10,,1,1/26/2017,DatRescue Philly 2,,
National Center for Environmental Information,303010100,3,3,1,1,,,30/30,1/14/2017,DataRescue Philly,,1
Cooperative Institute for Climate and Satellites,303010101,3,3,1,1,1,,1,1/14/2017,DataRescue Philly,,
Cooperative Institute for Climate and Satellites?North Carolina (CICS-NC): Portfolio,303010102,3,3,1,1,2,,1,1/14/2017,DataRescue Philly,,
CICS-NC: Expertise,303010103,3,3,1,1,3,,1,1/14/2017,DataRescue Philly,,
CICS-NC: Data,303010104,3,3,1,1,4,,1,1/14/2017,DataRescue Philly,,
CICS-NC: Programs,303010105,3,3,1,1,5,,1,1/14/2017,DataRescue Philly,,
Cooperative Institute for Climate and Satellites?Maryland (CICS-MD): Data,303010106,3,3,1,1,6,,1,1/14/2017,DataRescue Philly,,
CICS-MD: Research Projects,303010107,3,3,1,1,7,,1,1/14/2017,DataRescue Philly,,
Cooperative Institute for Research in Environmental Sciences (CIRES): Research Areas,303010108,3,3,1,1,8,,1,1/14/2017,DataRescue Philly,,
CIRES: Divisions,303010109,3,3,1,1,9,,1,1/14/2017,DataRescue Philly,,
CIRES: Programs,303010110,3,3,1,1,10,,1,1/14/2017,DataRescue Philly,,
CIRES: Annual Reports,303010111,3,3,1,1,11,,1,1/14/2017,DataRescue Philly,,
Northeast Regional Climate Center,303010112,3,3,1,1,12,,1,1/14/2017,DataRescue Philly,,
